no,nama_gereja,jumlah_anggota_jemaat,nama_pemimpin_gereja,status_gedung_gereja,kecamatan,,,,,,,,,,,,,,,
117,Gereja Punguan Kristen Batak ( GPKB ),24,Pdt. Irvan Siamora,Kontrak,Air Putih,,,,,,,,,,,,,,,
118,GKPI Sukaramai,98,"Pdt, Naek Gultom STh",Permanen ,Air Putih,,,,,,,,,,,,,,,
119,Gereja Bethel Indonesia Aras,88,Pdt.Erika Manullang,Permanen ,Air Putih,,,,,,,,,,,,,,,
120,Gereja Pentakosta Indonesia Sukamulia,43,Pdt. R. Pasaribu,Permanen ,Air Putih,,,,,,,,,,,,,,,
121,Gereja Pentakosta Indonesia Pematang Tengah,53,Pdt. S. Pasaribu,Permanen ,Air Putih,,,,,,,,,,,,,,,
122,"GMAHK Agape Cinta Damai, Indrapura",40,"St, R. Galingging",Permanen ,Air Putih,,,,,,,,,,,,,,,
123,HKI Pematang Tengah,43,Pdt. Simpan Sihombing STh,Permanen ,Air Putih,,,,,,,,,,,,,,,
124,HKBP Resort Suka Mulia,80,Pdt. Siahaan STh,Permanen,Air Putih,,,,,,,,,,,,,,,
125,HKBP Pulau Harapan,69,"Pdt.Linda O.E. Lumban Raja,S.Th",Permanen ,Air Putih,,,,,,,,,,,,,,,
126,HKBP Kampung Kelapa,46,"Pdt, Ronni Silitonga",Permanen ,Air Putih,,,,,,,,,,,,,,,
127,GKPS Sukamulia,58,Pdt. Maria Girsang STh,Permanen ,Air Putih,,,,,,,,,,,,,,,
128,GPI Pulau Harapan,45,D. Nababan,Permanen ,Air Putih,,,,,,,,,,,,,,,
129,HKBP Blok 12,78,Pdt. Roni Silitonga MTh,Permanen ,Air Putih,,,,,,,,,,,,,,,
130,HKBP Blok 20,80,M. Sihaaan,Permanen ,Air Putih,,,,,,,,,,,,,,,
131,HKBP Blok R,95,"Pdt.Linda O.E. Lumban Raja,S.Th",Permanen ,Air Putih,,,,,,,,,,,,,,,
132,GKPI Blok R,65,Pdt. Naek Gultom Sth,Permanen ,Air Putih,,,,,,,,,,,,,,,
133,GPI Blok R,38,Pdt. Galumbang sitinjak,Permanen ,Air Putih,,,,,,,,,,,,,,,
134,GPdI Blok R,29,Pdt. Hotben Simbolon,Permanen,Air Putih,,,,,,,,,,,,,,,
135,HKI Pulau Harapan,57,Pdt. Simpan Sihombing STh,Permanen ,Air Putih,,,,,,,,,,,,,,,
136,HKBP Pematang Tengah,77,Pdt Nababan,Permanen ,Air Putih,,,,,,,,,,,,,,,
137,Gereja Suara Kebenaran Injil (GSKI)Eklesia Batu Bara,20,"Ev. Eliyas Suryanta Sembiring, S.Pd, M.Pd.K",Permanen ,Air Putih,,,,,,,,,,,,,,,
138,Gereja HKBP Kampung Baru,184,C. BVR. RAHEL ADELINA TOBING,Permanen,Sei Suka,,,,,,,,,,,,,,,
139,Gereja GPI Kampung Baru,190,Pdt. Perti Sirumorang,Permanen,Sei Suka,,,,,,,,,,,,,,,
140,Gereja GPDI Kampung Baru,168,Pdt. A. Sitohang,Permanen,Sei Suka,,,,,,,,,,,,,,,
141,Gereja HKI Brohol,312,Diakones Saulina Solin,Permanen,Sei Suka,,,,,,,,,,,,,,,
142,HKBP Kebun Kopi,372,"Pdt.Elly Situmorang,S.Th",Permanen,Sei Suka,,,,,,,,,,,,,,,
143,HKBP Padang Serunai,160,St. Hutapea,Permanen,Sei Suka,,,,,,,,,,,,,,,
144,GKPI Sei Besar Kuala Indah,190,Pdt. N. Gultom,Permanen,Sei Suka,,,,,,,,,,,,,,,
145,GPDI Koinonia Kuala Indah,240,Pdt. Hotben Simbolon,Permanen,Sei Suka,,,,,,,,,,,,,,,
146,HKBP Sei Besar Kuala Indah,144,Bebelvrou.Hasian Nababan,Permanen,Sei Suka,,,,,,,,,,,,,,,
147,GKLI Kuala Tanjung,240,Pdt. J. Manullang,Permanen,Sei Suka,,,,,,,,,,,,,,,
148,GPDI Jemaat Maranata,140,Pdt. P. Aritonang,Permanen,Sei Suka,,,,,,,,,,,,,,,
149,GPdI Koinonia Kuala Tanjung,245,Pdt. C. Sibarani,Permanen,Sei Suka,,,,,,,,,,,,,,,
150,Gereja OKuimene TJ. Gading PKOTG,600,"Pdt. Tumpal Tamba,S.Th",Permanen,Sei Suka,,,,,,,,,,,,,,,
151,GEPKIN Kuala Indah,44,Pdt. B. Sitanggang,Permanen,Sei Suka,,,,,,,,,,,,,,,
152,HKI Simodong Dusun V,300,"Pdt.. Elisa Manurung, S.Th",Permanen,Sei Suka,,,,,,,,,,,,,,,
153,HKI Deras,70,"Pdt.. Elisa Manurung, S.Th",Permanen,Sei Suka,,,,,,,,,,,,,,,
154,GMAHK Simodong,102,Pdt. Anggiat Pardede,Permanen,Sei Suka,,,,,,,,,,,,,,,
155,GPI Simodong,150,Pdt. Loas Sinaga,Permanen,Sei Suka,,,,,,,,,,,,,,,
156,GBI Kainos,25,"pdt. Jony Naibaho,S.Th",Kontrak,Sei Suka,,,,,,,,,,,,,,,
157,HKBP Simodong,600,"Pdt. J Simanjuntak, S. Th",Permanen,Sei Suka,,,,,,,,,,,,,,,
158,GPI Sumur Bor Sei Deras,45,Gr. R Sitorus,Permanen,Sei Suka,,,,,,,,,,,,,,,
159,GPI Sidang Sei Suka Deras,100,Pdt. R. Butar Butar,Permanen,Sei Suka,,,,,,,,,,,,,,,
160,GPdI Syalom Simodong,12,Pdt.Ribka Sinaga,Permanen,Sei Suka,,,,,,,,,,,,,,,
161,HKBP Brohol,305,"Pdt.Jonny. Simanjuntak, S.Th",Milik Sendiri,Medang Deras,,,,,,,,,,,,,,,
162,GPdI Syalom Pakam Raya Selatan,250,Pdt.L.Sinaga,Milik Sendiri,Medang Deras,,,,,,,,,,,,,,,
163,GKII Inalum,98,Pdt. Y. Silaen,Milik Sendiri,Medang Deras,,,,,,,,,,,,,,,
164,HKBP Pakam Raya,350,"Pdt. Elly Situmorang, S. Th",Milik Sendiri,Medang Deras,,,,,,,,,,,,,,,
165,HKBP Ressort Pematang Cengkring,921,"Pdt. Rita Siagian, S. Th",Milik Sendiri,Medang Deras,,,,,,,,,,,,,,,
166,Gereja Punguan Kristen Batak (GPKB) Pagurawan kota,123,"Pdt. Irwan Simamora, S. Th",Milik Sendiri,Medang Deras,,,,,,,,,,,,,,,
167,HKBP Pardomuan Nauli,480,Pdt. Butar-butar,Milik Sendiri,Medang Deras,,,,,,,,,,,,,,,
168,GPI Pagurawan,60,Pdt. Makmur Lumban Raja,Milik Sendiri,Medang Deras,,,,,,,,,,,,,,,
169,HKI Desa Durian Resort Indrapura,140,"Pdt. Simpan Sihombing, S. Th",Milik Sendiri,Medang Deras,,,,,,,,,,,,,,,
170,GPDI Pagurawan Pangkal Titi,255,Pdt. J Siahaan,Milik Sendiri,Medang Deras,,,,,,,,,,,,,,,
171,GPdI Pangurawan,112,"Pdt. Mulyadi Simbolon, S.Th",Milik Sendiri,Medang Deras,,,,,,,,,,,,,,,
172,HKBP Pangurawan,361,Bvr. Lince. Lumban Tobing,Milik Sendiri,Medang Deras,,,,,,,,,,,,,,,
173,GKPI Pangurawan,230,Pdt. Gonggom Silalahi,Milik Sendiri,Medang Deras,,,,,,,,,,,,,,,
174,GPI Pakam Raya Selatan,180,"Pdt. Parulian. Pangaribuan, S.Pd",Milik Sendiri,Medang Deras,,,,,,,,,,,,,,,
175,GPdI Syalom Sei Raja,55,Pdt. Lasman Sinaga,Milik Sendiri,Medang Deras,,,,,,,,,,,,,,,
176,HKBP Pardomuan Nauli,650,Bvr. R. Butar Butar,Milik Sendiri,Medang Deras,,,,,,,,,,,,,,,
177,HKBP Desa Durian,165,Bvr. Sitiriama Br Siburian,Milik Sendiri,Medang Deras,,,,,,,,,,,,,,,
178,Pentakosta Indonesia Limau Kapas ,50,Pdt. Jese Hutahean,Milik Sendiri,Medang Deras,,,,,,,,,,,,,,,
179,GPDI Imanuel,152,"Pdt. P. Pasaribu, S.Pd",Milik Sendiri,Medang Deras,,,,,,,,,,,,,,,
180,GPdI Cengkring,70,Pdt. L. Sinaga,Milik Sendiri,Medang Deras,,,,,,,,,,,,,,,
181,GKPI Pem. Cengkring,330,Gr. Samuel Sihombing,Milik Sendiri,Medang Deras,,,,,,,,,,,,,,,
182,GMI Sion Pakam Raya,95,Pdt. J. Saragih,Milik Sendiri,Medang Deras,,,,,,,,,,,,,,,
183,HKI Sei Raja,120,"Pdt. Simpan Sihombing, S. Th",Milik Sendiri,Medang Deras,,,,,,,,,,,,,,,
184,GKPI Desa Durian,150,"Pdt. Merwin. Butar-butar, S. Th",Permanen ,Medang Deras,,,,,,,,,,,,,,,
185,GPDI Tanjung Selamat,125,Pdt. B. Simbolon,Permanen ,Medang Deras,,,,,,,,,,,,,,,
186,HKBP Aek Nauli,120,"Pdt. Merwin. Butar-butar, S. Th",Permanen ,Medang Deras,,,,,,,,,,,,,,,
187,HKBP Tanjung seri ,460,"Pdt. Ferry Sitanggang, S.Th ",Permanen ,Laut Tador,,,,,,,,,,,,,,,
188,HKI Tanjung seri ,119,Pdt. Simpan Sihombing ,Permanen ,Laut Tador,,,,,,,,,,,,,,,
189,GPDI Alfa dan Omega  Tanjung Seri ,70,Gembala CH Nababan ,Permanen ,Laut Tador,,,,,,,,,,,,,,,
190,GKPI Tanjung Seri ,131,Guru Jemaat E. Br Harianja ,Permanen,Laut Tador,,,,,,,,,,,,,,,
191,GPDI Jemaat Haleluya Desa Mekar sari  ,31,Pdt. Muda N. Sialoho ,Permanen ,Laut Tador,,,,,,,,,,,,,,,
192,Gereja Methodist  Seri  ,75,Pdt. Wanri Purba,Permanen ,Laut Tador,,,,,,,,,,,,,,,
193,GMB Tanjung Seri ,25,St. Rensi br Saragih,Permanen ,Laut Tador,,,,,,,,,,,,,,,
194,HKBP Tanjung Kasau ,90,Gr. Terry Manalu ,Permanen ,Laut Tador,,,,,,,,,,,,,,,
195,HKBP Laut Tador,293,"Pdt. Ferry Sitanggang, S.Th ",Permanen ,Laut Tador,,,,,,,,,,,,,,,
196,GKPI Laut Tador,105,Pdt. N. Gultom ,Permanen ,Laut Tador,,,,,,,,,,,,,,,
197,Gereja Masehi Advent Hati ke 7 ,13,L.Tinambunan ,Permanen ,Laut Tador,,,,,,,,,,,,,,,
198,GPdi Anugerah  Batu Tohap,100,Pdt. Harland Sianturi ,Permanen ,Laut Tador,,,,,,,,,,,,,,,
199,Gereja Masehi Advent Hati ke 7 Tj. Kasau,64,Pdt. Tirsa Sinuhaji ,Permanen ,Laut Tador,,,,,,,,,,,,,,,
200,GPI Cinta Maju ,60,Pdt. Holong Pasaribu ,Permanen ,Laut Tador,,,,,,,,,,,,,,,
201,HKBP Batu Tohap,249,"Pdt. Ferry Sitanggang, S.Th ",Permanen ,Laut Tador,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
